,Sentence
995,"He is the creator and writer of New Zealand's first bilingual English-Tongan television series, Brutal Lives - Mo'ui Faingata'a."
996,Vela Manusaute is a Niuean writer and director.
997,Official statements are unclear and differ as to whether he quit or was fired.
998,"The editor and deputy editor of Brittle Paper were not able to come to an agreement about edits to the Brittle Paper post, so the post was taken down, accompanied by a short statement."
999,"Responding to Obi-Young's accusations of censorship and misogyny, the editor pointed to Brittle Paper's 10-year track record of publishing similarly controversial stories, supporting women's issues, and standing against censorship."
1000,Career
1001,She is the founder and publisher of the African literary blog Brittle Paper.
1002,"Until June 2018, she was assistant professor at Marquette University."
1003,"""Africa is a country in Wakanda"", Africa Is a Country."
1004,"While working on her doctorate from Duke University, Edoro founded Brittle Paper."
1005,"In June 2018, Edoro was the lead judge at GTBank's writing contest."
1006,She is currently an assistant professor of Global Black Literatures at the University of Wisconsin-Madison.
1007,"Edoro is a contributing writer to Africa Is A Country, which is a site of opinion, analysis, and new writing."
1008,"According to Edoro, the dissatisfaction in sharing her literary thoughts with only her academic community was what led her to blogging, however she stated that her objective was to ""reinvent African fiction and literary culture""."
1009,She was also listed as one of the five most influential Nigerian women in 2016 by the Guardian.
1010,"All is fair in love and war"" when alerted to her son Bello's comments, before later apologising."
1011,"""How not to talk about African fiction"", The Guardian, 6 April 2016."
1012,"In 2016, her writings were published in British newspaper The Guardian, where she observed discrimination in the perception of African writers by some stakeholders in the literary circle."
1013,"The dispute revolved around potential edits to a story about Hadiza Isma El-Rufai, a novelist and wife of Kaduna state governor Mallam Nasir El-Rufai."
1014,"The statement included unverified accusations against Brittle Paper and its editor, and spawned conspiracy theories on Twitter."
1015,She was listed as one of the 100 most influential Africans of 2016 by New African magazine.
1016,"The next day, Obi-Young ignited a social media controversy with a public statement posted to his blog."
1017,"Her areas of research include 21st-century fiction, literature in digital/social media, The Global Anglophone Novel, African Literature, Contemporary British Fiction, Novel Theory, Political Philosophy, and Digital Humanities."
1018,She is also the announcer of the African literary person of the year through Brittle Paper.
1019,"In 2020, Edoro founded Brittle Paper, a literary blog for fans of African literature."
1020,"""Gods of Fiction: African Writers and the Fantasy of Power"", Africa Is a Country."
1021,"The editor of Brittle Paper responded to the controversy in a statement on 15 April 2020, in which she denied the accusations."
1022,Her interests are centred on fictional African literature.
1023,"Hadiza Isma El-Rufai had defended her son's threat to gang-rape a Twitter user during an argument on the social network, saying ""Sow the wind, reap the whirlwind."
1024,References
1025,"Early years and education Edoro was born in Akure, Nigeria, and grew up in Benin City."
1026,"Ainehi Edoro (born 11 December) is a Nigerian writer, critic and academic."
1027,"He studied law, then philosophy in Budapest, Paris and Leipzig."
1028,There are schools in Mokrin and Novi Sad named after him.
1029,As a student he was expelled from the Karlovci Gymnasium.
1030,"He went to high school in Kikinda, Sremski and Senj."
1031,"After World War II, he was president of Matica srpska, a position he held until his death."
1032,Early life Stajić was born in Mokrin.
1033,Stajić wrote several biographies of famous people and families.
1034,References External links Vasa Stajić Media related to Vasa Stajić (philosopher) at Wikimedia Commons
1035,"He was born in Mokrin in 1878, and died in Novi Sad in 1947 where he spent most of his life."
1036,He graduated in 1902 in Budapest.
1037,He was one of the most important figures of modern cultural and political Vojvodina.
1038,"He has written more than twenty books, including Novosadske biografije (Biographies of Novi Sad) in six volumes and Velikokikindski dištrikt (The District of Velika Kikinda)."
1039,"Vasa Stajić published a socialist journal called Novi Srbin and Prosveta magazine and, because of his ideas, he was frequently arrested and questioned by the authorities."
1040,He also published studies on Svetozar Miletić (1926) and Jovan Jovanović Zmaj (1933) as well as more than 100 scholarly articles.
1041,A statue of him appears in front of the Serbian Cultural Society.
1042,"In 1904 and 1905, he taught at Pakrac and at Pljevlja gymnasium, where he had a colleague, professor and historian Gligorije Elezović."
1043,He was secretary of the Serbian Cultural Society from 1920-1922 and its president twice (1935-1936 and 1947).
1044,Vasa Stajić (10 February 1878 — 10 February 1947) was a Serbian writer and philosopher.
1045,"In Novi Sad, he became secretary of the Matica srpska, one of the most important Serbian cultural institutions of the Kingdom of Serbs, Croats and Slovenes and of the Kingdom of Yugoslavia, and in 1921 and 1936 he was editor of ""Letopis"" (Chronicle), the official organ of this institution."
1046,"Einar Már Guðmundsson (born 18 September 1954 in Reykjavík) is an Icelandic author of novels, short stories, and poetry."
1047,In 1979 he received his Bachelor of Arts at the University of Iceland in comparative literature and history.
1048,Zu seinem lyrischen Schaffen (isl.)
1049,His books have been translated into several languages.
1050,He subsequently worked in the comparative literature department of the University of Copenhagen.
1051,Background Guðmundsson grew up in Reykjavík.
1052,"Today, the author lives in Reykjavík, is married, and has five children."
1053,"Works Einar's first book was poetry and his best-known work is his novel Englar alheimsins (Angels of the Universe), subsequently adapted as a film."
1054,References External links Media related to Herman Geijer at Wikimedia Commons
1055,Geijers show got positive reviews from media.
1056,"Geijer was voted by the listeners of the radio show Sommar i P1 at Sveriges Radio as their favourite, with his show broadcast on 15 July 2015."
1057,"Many of the radio listeners noted that Geijer played ""Beväpna er"", a song by Ebba Grön."
1058,"Herman Geijer, (born 4 December 1978) is a Swedish author, lecturer and zombie-survivalist expert."
1059,He then worked as a business developer for ABF and is now located in Stockholm.
1060,"In December 2014, he published the book Zombieöverlevnad: din guide till apokalypsen, about how to survive a zombie invasion."
1061,He studied esthetic program at Westerlundska gymnasiet in Enköping and has also worked as a coat handler at for Carolina Rediviva and Arbetarnas bildningsförbund (ABF) in Uppsala.
1062,Geijer grew up in Örsundsbro outside of Uppsala.
1063,"Masatsugu Ono (小野 正嗣, Ono Masatsugu, born 1970) is a Japanese writer."
1064,"The pastry shop at the edge of the wood, translated by Juliet Winters Carpenter, in At the edge of the wood, Strangers Press, 2017."
1065,"ISBN 9781931883702Short Stories Katachichi (片乳) A breast, translated by Juliet Winters Carpenter, in At the edge of the wood, Strangers Press, 2017."
1066,"He was awarded the 152nd Akutagawa Prize (for 2014, presented in 2015), for the novel Kyūnen-mae no inori (""A Prayer Nine Years Ago"")."
1067,ISBN 9781949641288 References
1068,"Works in Translation Novels Echo on the bay (にぎやかな湾に背負われた船, Nigiyaka na wan ni seowareta fune), translated by Angus Turvill, Two Lines Press, 2020."
1069,ISBN 9781911343066
1070,He resides in Ōita Prefecture and is associate professor at the Rikkyo University.
1071,"The cake shop in the woods, translated by Juliet Winters Carpenter, in At the edge of the woods, Two Lines Press, 2022."
1072,"A breast, translated by Juliet Winters Carpenter, in At the edge of the woods, Two Lines Press, 2022."
1073,One of the theatrical works that he completed was Faia kai Nymfaia (Φαιά και Νυμφαία).
1074,He tried vainly and repeatedly elected in the next elections from 1904 until 1910.
1075,"Biography Daralexis was born in Pyrgos, Elis, and was a relative of the Avgerinos family."
1076,"Christos Daralexis (Greek: Χρήστος Δαραλέξης, 1870 - 1951) was a Greek historian, a politician and a theatrical writer."
1077,It was a union member of the Journalists' Union of the Athens Daily Newspapers (ESIEA) and ran president.
1078,He was elected a politician in 1900.
1079,He was a well minded Athenian and one of the courteous changes in Athens' aristocracy.
1080,"He is well known for his novel Love Life (Dutch: Komt een vrouw bij de dokter), in which he documents a fictionalized version of his own life story; a husband committing adultery while his wife is dying of cancer."
1081,Background Kluun's wife Judith died from breast cancer at 36 years old (2000).
1082,"The official website of the movie ""Komt een vrouw bij de dokter"" (Love Life)"
1083,"Raijmondus ""Raymond"" Godefriedus Norbert van de Klundert (known commonly as Kluun or Ray Kluun, born 17 April 1964) is a Dutch author."
1084,He then wrote the sequel De weduwnaar (The widower) to talk about his move to Australia with their daughter after Judith died.
1085,"He wanted to express his feelings for his late wife, so he used his experience to write his first novel Komt een vrouw bij de dokter (Love Life) 3 years later in 2003."
1086,"Film scripts Belaćević wrote these film scripts, which are based on his novels:"
1087,"He owned a private film corporation called ""Studio Film"" and wrote several books."
1088,"Biography Belaćević was born on 31 December 1929 in the village of Junkovac, near the town of Lazarevac, Serbia."
1089,"Belaćević directed television dramas such as Tatin sin, Sudija i advokat, Žandarm, Carina, Ženidba na švedski način and Majka šalje sina u armiju, and has also written some movie scripts based on his books."
1090,"Radomir Belaćević (31 December 1929 – 3 June 2005) was a Serbian film director, actor, producer and writer."
1091,Ne pušim više (I quit smoking)
1092,He died on 3 June 2005.
1093,"Käkikoski is buried alongside Ennola at Karjalohja, Finland."
1094,"As Käkikoski developed an interest in feminism and women's suffrage, she became an active member of the Finnish Women's Association, and wrote numerous articles for the association's magazine."
1095,"Käkikoski's literary work included children's songs, poetry and short stories."
1096,References External links Works by Hilda Maria Käkikoski at Project Gutenberg
1097,"There, she cut her hair short and changed her Swedish surname to Käkikoski, the Finnish surname of her neighbours."
1098,"In 1902, she began writing a four-volume account of Finnish history."
1099,"Käkikoski won the vote in her district, Uusimaa, and became one of the first 19 women elected to parliament."
1100,"Her students found her fascinating due to her unconventional habits and interests, such as being a vegetarian, gymnast, cyclist, wearing masculine clothing and having an assertive demeanor."
1101,A statue honouring her can be found in Porlammi.
1102,She did not stand for re-election in 1910 due to health problems.
1103,"In 1907, she ran for election with the conservative Finnish Party to the newly established Parliament of Finland; the 1907 election marked the first that women were able to vote and be voted in."
1104,She was one of the first nineteen women elected to Finnish parliament in 1907.
1105,Life and career Käkikoski was born Hilda Maria Sjöström in Lapinjärvi in 1864.
1106,"One of her early relationships was with schoolteacher and activist Fanny Pajula, with whom she lived for six years until 1895."
1107,"She continued working on the project until her death in 1912, but the work was never completed."
1108,"She went on to become a teacher at a Helsinki school, teaching classes in history and the Finnish language from 1891 until 1902."
1109,Personal life Käkikoski was a lesbian.
1110,"Hilda Maria Käkikoski (31 January 1864 – 14 November 1912) was a Finnish politician, writer and schoolteacher."
1111,"After finishing school, she worked as a home tutor until 1888 when she enrolled in university; she completed a PhD in Finnish and Nordic history in 1895."
1112,She was described as a tomboyish child growing up in the countryside.
1113,She was elected its vice president in 1895 and held the position until 1904.
1114,She moved to Helsinki by herself at the age of 14 to attend a girls' high school with a scholarship.
1115,"Later in life, Käkikoski was romantically involved with her married friend Hildi Ennola, her American friend Frances Weiss, deaconess Hanna Masalin, and political activist Helmi Kivalo; Käkikoski maintained involvement in all of these relationships until her death in 1912."
1116,"The manga Touge Oni tells the tale of En no Ozuno and his two disciples, Zenki and Miyo (later Goki), traveling the land of Wa meeting various Kami."
1117,"In the SNES game Shin Megami Tensei, an NPC named En-no-ozuno resides in Kongokai."
1118,"In the PS1 game Oni Zero: Fukkatsu, the main antagonist is En no Gyōja."
1119,"Due to his mythical status as a mountain saint, he was believed to possess many supernatural powers."
1120,"In popular culture In Kyoto's Gion Festival, one of the yamaboko floats (En no Gyoja Yama) is dedicated to En no Gyoja."
1121,In the historical fantasy novel Teito Monogatari by Hiroshi Aramata the protagonist Yasunori Kato claims to be a descendant of En no Gyōja.
1122,"In the anime Zenki, a posthumous character named Enno Ozunu was the master of Zenki, who would centuries later be summoned again by his descendant, Chiaki Enno."
1123,"In the movie ""Ninja Assassin,"" the antagonist is 'Master Ozunu;' who heads the, ""9 Clan""."
1124,"En no Ozunu, also En no Ozuno, Otsuno (役小角) (b. 634, in Katsuragi (modern Nara Prefecture); d. c. 700–707) was a Japanese ascetic and mystic, traditionally held to be the founder of Shugendō, the path of ascetic training practiced by the gyōja or yamabushi."
1125,Authorship of the non-canonical Sutra on the Unlimited Life of the Threefold Body is attributed to En no Gyōja.
1126,"In the religion Shugendō In folk religion, En no Ozunu is traditionally held to be the founder of Shugendō, a syncretic religion incorporating aspects of Taoism, Shinto, esoteric Buddhism (especially Shingon Mikkyō and the Tendai sect) and traditional Japanese shamanism."
1127,In the manga OZN by Shiro Ohno the protagonist is a superheroic version of En no Ozunu.
1128,"Later, [a person (or Hirotari?)] envied his power and accused him of trickery with his weird magic."
1129,"En no Gyōja was conferred the posthumous title Jinben Daibosatsu (Great Bodhisattva Jinben, 神変大菩薩) at a ceremony held in 1799 to commemorate the one-thousandth year of his passing."
1130,"Rumor says, ""Ozunu was able to manipulate demonic spirits, making them draw water and gather firewood."
1131,[The Imperial Court] banished him far [from the Capital].
1132,"He was banished by the Imperial Court to Izu Ōshima on June 26, 699, but folk tales at least as old as the Nihon Ryōiki (c. 800) recount his supernatural powers and exploits."
1133,"In Koji Suzuki's novel Ring, Sadako's mother drags a statuette of En no Ozunu from the sea."
1134,"When they disobeyed, he bound them using sorcery."""
1135,Explanatory notes References Citations Bibliography External links En no Ozunu - History of Japan Database
1136,"It is an annual pilgrimage destination for yamabushi (practitioners of Shugendo), who perform various rituals on site."
1137,"Seeing that his parents were unable to send him to University, he began looking for work."
1138,"John Alexander Watler (6 November 1938 – 23 December 2015) was a Belizean novelist, master storyteller, poet, playwright and literary performer."
1139,Walter went on to excel in both elementary school and high school.
1140,"In that same year, his short fiction, Bitter Sweet Revenge, was featured in the Belizean Writers Series in Snapshots of Belize: An Anthology of Belizean Short Fiction."
1141,"He was born in Monkey River Village, Stann Creek District, Belize (British Honduras)."
1142,"Universities in the US, including Texas A&M, Marlborough College and Sterling College, had hosted John Alexander Watler as literary performer."
1143,See also John Watler Sea Lotto Interview John Alexander Watler Author of The Story of Belize References
1144,"He also published “Escape to Nomo Nomo” which is a lyrical folklore comedy and “Story of Belize City,” which is a historical, epic poem."
1145,Here his stories were read on the radio by Lawrence Vernon and Leo Bradley Senior.
1146,He received an invitation from The Gleaner to study journalism for one year under a program for Caribbean writers at The Gleaner in-house.
1147,Watler continued to write many engaging stories and poems.
1148,Watler received a diploma in journalism in 1995.
1149,His schoolmaster encouraged his talent by giving him private lessons in English and grammar.
1150,"In 1958, he began submitting short stories to be aired on the British Honduras Broadcasting Service."
1151,"Watler also served as an elder member of the American National Association of Black Storytellers (NABS) and served on their Scholar's Panel at their 2010 national convention in Minneapolis, MN."
1152,"Upon his return to Belize from Jamaica, Watler worked as an acting editor for the Belize Billboard, a daily newspaper."
1153,He was also a member of the International Storyteller's Association.
1154,"Among his other published works are novels such as: Blue Hole, The Bomba Codex, The Banjuju Tribe, The Snake Doctor, Renaissance and Antics."
1155,Early career Watler began writing compositions at the age of 13.
1156,"However, his first published novel, Cry Among Rainclouds debuted until Watler was in his 60s."
1157,These stories and energetic performances formed the basis for Watler's efforts to keep Kriol culture alive.
1158,"Later, the trio published an anthology of short stories by the name of, Among My Souvenirs ."
1159,"In addition to his many contributions to Belizean Literature, John Alexander Watler was also Master Storyteller, well known in Belizean theater for his lively one-man performances portraying folk characters such as Brer Anansi or some of his playwright creations, such as: “Wapye’s Letter”, “One Foot Was Pushed”, and ”Sunkutu’s UFO Experience.”"
1160,Watler was regarded as a folk hero for his literary works that were geared towards keeping the Kriol Culture alive.
1161,Awards Watler was the recipient of the Gold Medal Award in 1978 by National Festival of Arts: Historic Narrative as well as the National Poetry Contest Award in 1999 by National Institute of Cultural and History in Belize.
1162,"After publishing the anthology of short stories, Watler submitted a copy of Among My Souvenirs to the Jamaican newspaper, The Daily Gleaner."
1163,"At the age of 18, he got his first writing job as a court reporter for The Belize Times."
1164,"He also received the Lifetime Achievement Award in 2011/2012, in Chicago, Illinois."
1165,"On September 8, 2005, Watler released an audio CD with three of his stories: an epic poem– ""The Story of Belize City"", a historic poem– “While They Fight I Write”, and an ecological poem– “The Grand Tour of Monkey River”."
1166,"The awards encourage and promote literature among kids, ages 6 to 18, from various backgrounds and learning styles, attracting thousands of entries from Hong Kong, Macau and China."
1167,Vittachi has been part of the Hong Kong Young Writers’ awards for over a decade.
1168,Journalism career Vittachi started his career working for the Morning Telegraph in Sheffield.
1169,"He has written the novel series The Feng Shui Detective, as well as non-fiction works and novels for children."
1170,Nury Vittachi (born 2 October 1958) is a journalist and author based in Hong Kong.
1171,"In 2020, Vittachi published a book alleging that the 2019–20 Hong Kong protests were partially funded supported by the Central Intelligence Agency through the Oslo Freedom Foundation, the Albert Einstein Institution, and the Centre for Applied Nonviolent Action and Strategies and ""revolution consultants""."
1172,Personal life Vittachi was born in Sri Lanka to a Buddhist mother and Muslim father and currently resides in Hong Kong with his wife and children.
1173,He founded the press agency Anka news agency in 1972.
1174,"He acted 15 months long at this post, before Deniz Baykal was reelected at the next extraordinary party congress in 2000."
1175,He was reelected in 1995 as the deputy of Istanbul from the CHP.
1176,Who is Who - Biography of Altan Öymen (in Turkish)
1177,"He was elected in 1977 as the deputy of Ankara from the Republican People's Party (CHP) to the Turkish Grand National Assembly, and became minister for tourism and public relations in the cabinet of Bülent Ecevit's second government, which lasted only one month in the summer 1977."
1178,"Öymen resumed his journalist career, which he had interrupted during his party leadership, and wrote on political issues in his column in the newspaper Radikal."
1179,Biography Öymen graduated from the School of Political Science of Ankara University.
1180,"He began his journalist career already in 1950 aged 18 and worked as a reporter, columnist and editor-in-chief long time for the major newspapers like Ulus, Akşam, Cumhuriyet and Milliyet."
1181,"Following the resignation of Deniz Baykal from the presidency of CHP, he was elected leader on 23 May 1999."
1182,"Bibliography Mobilya Dosyası (The Furniture File), um:ag Press (1997), with Uğur Mumcu, 300p., ISBN 975-8084-28-3 Bir Dönem Bir Çocuk (One Era One Child), Doğan Press (2002), 606 p., ISBN 975-293-040-9 Değişim Yılları (The Transition Times), Doğan Press (2004), 670 p., ISBN 975-293-255-X Öfkeli Yıllar (The Angry Years), Doğan Press (2009) 608 pg., ISBN 978-605-111-401-9 ... ve İhtilal , Doğan Press (2013) 754 pg., ISBN 978-605-09-1758-1 Umutlar ve İdamlar , Doğan Press (2018) 447 pg., ISBN 978-605-09-5206-3 Kayıp Yaz"", Doğan Press (2016) 329 pg., ISBN 978-605-09-3865-4 Notes References"
1183,"He entered politics in 1961 as member of the parliament that was formed after the military coup in Turkey, 1960."
1184,"In the 1960s, Altan Öymen served as the press attaché in Bonn, Federal Republic of Germany."
1185,"Mehmet Altan Öymen (born 20 June 1932) is a Turkish journalist, author and former politician."
1186,"In the 1980s and 1990s, he was awarded several times for his journalism."
1187,"Prof. Suyanto, Ph.D. (born 2 March 1953) is a professor and technocrat from Indonesia."
1188,His current positions are as a Vice Chairman of Majelis Pendidikan Tinggi Pimpinan Pusat Muhammadiyah and Chairman of Alumni Association of Yogyakarta State University.
1189,He is also known as a writer and speaker in education.
1190,He had been a rector of Yogyakarta State University and Director General for Management of Primary and Secondary Education in Indonesian Ministry of Education and Culture.
1191,"On 24 July 1663, he alone signed a protest against the bill ""for the encouragement of trade"", on the plea that owing to the free export of coin and bullion allowed by the act, and to the importation of foreign commodities being greater than the export of home goods, ""it must necessarily follow ... that our silver will also be carried away into foreign parts and all trade fail for want of money."""
1192,"In 1683, Anglesey appeared at the Old Bailey as a witness in defence of Lord Russell, and in June 1685 he protested alone against the revision of Lord Stafford's attainder."
1193,"He was made President of the Council of State in February 1660, and in the Convention Parliament sat for Carmarthen."
1194,"In 1682 he wrote The Account of Arthur, Earl of Anglesey ... of the true state of Your Majesty's Government and Kingdom, which was addressed to the king in a tone of censure and remonstrance, but appears not to have been printed till 1694."
1195,"He was educated at Magdalen College, Oxford, from which he graduated in 1634 as a Bachelor of Arts; that year, he was admitted into Lincoln's Inn."
1196,His loyalty to Cromwell may have allowed him to retain his seat in parliment after the events of 1648.
1197,Bunyan was held overnight at Harlington Grange.
1198,"This same year his naval accounts were subjected to an examination in consequence of his indignant refusal to take part in the attack upon Ormonde; and he was suspended from his office in 1668, no charge, however, against him being substantiated."
1199,"In the bitter religious controversies of the time, Anglesey showed great moderation and toleration."
1200,"Richard's second son, Richard (died 1761), succeeded his cousin as the 6th earl, and left a son Arthur (1744–1816), whose legitimacy was doubted and his father's English titles were declared extinct."
1201,"On 20 April 1661, he was created Baron Annesley, of Newport Pagnell in Buckinghamshire and Earl of Anglesey in the Peerage of England."
1202,The unfavourable character drawn of him by Burnet is certainly unjust and not supported by any evidence.
1203,"Marriage and legacy Anglesey married Elizabeth, daughter and co-heiress of Sir James Altham of Oxey, Hertfordshire, a baron of the Exchequer, and his first wife Margaret Skinner."
1204,"In April 1673, he was appointed Lord Privy Seal, and was disappointed at not obtaining the Great Seal the same year on the removal of Lord Shaftesbury."
1205,"He succeeded his father as 2nd Viscount Valentia in 1660, and he was created Earl of Anglesey in 1661."
1206,"Comprising the Period from the Restoration of Charles the Second, in 1660, to the Revolution, in 1688, London: T.C. Hansard for R. Bagshaw, 1808."
1207,He was sworn of the Privy Council on 1 June and in November he succeeded his father as Viscount Valentia in the Irish peerage.
1208,"Early life Annesley was born in Dublin, Ireland to Francis Annesley, 1st Viscount Valentia, and his first wife Dorothy, daughter of Sir John Philipps, Bt, of Picton Castle."
1209,He was created Earl of Mountnorris in 1793 in the Peerage of Ireland.
1210,"In 1681, Anglesey wrote A Letter from a Person of Honour in the Country, as a rejoinder to the Earl of Castlehaven, who had published memoirs on the Irish rebellion defending the action of the Irish and the Roman Catholics."
1211,"Notes References Annesley, Arthur (1693), Memoirs of Lord Anglesey, P. Pett Annesley, Arthur (1702), The Privileges of the House of Lords and Commons Argued and Stated, in Two Conferences between both Houses."
1212,"The author however of the preface to The Rights of the Lords asserted (1702), while blaming their publication as ""scattered and unfinished papers,"" admits their genuineness."
1213,"All the male descendants of the 1st Earl of Anglesey became extinct in the person of George, 2nd Earl of Mountnorris, in 1844, when the titles of Viscount Valentia and Baron Mountnorris passed to his cousin Arthur (1785–1863), who thus became 10th Viscount Valentia, being descended from the 1st Viscount Valentia the father of the 1st Earl of Anglesey in the Annesley family."
1214,"His independent attitude drew upon him an attack by the notorious informer Dangerfield, and in the Commons by the Attorney General, Sir William Jones, who accused him of endeavouring to stifle the evidence against the Romanists."
1215,"April 19, and 22, 1671."
1216,In April 1647 he was returned for Radnorshire to the House of Commons.
1217,"He divided his time between his estate at Blechingdon in Oxfordshire, and his house on Drury Lane in London, where he died in 1686 from quinsy, closing a career marked by great ability, statesmanship and business capacity, and by conspicuous courage and independence of judgement."
1218,"He sat in Richard Cromwell's parliament for Member of Parliament for Dublin City, and endeavoured to take his seat in the restored Rump Parliament of 1659."
1219,"Pepys, a far more trustworthy judge, speaks of him invariably in terms of respect and approval as a ""grave, serious man,"" and commends his appointment as treasurer of the navy as that of ""a very notable man and understanding and will do things regular and understand them himself""."
1220,"He did support Oliver Cromwell however, though at this time Cromwell wasn't as powerful as he would later become as Lord Protector, as the new model army was under the command of Lord Fairfax."
1221,"As a moderate and a presbyterian, he was highly sceptical of the army's decisions towards the end of the war."
1222,"Many of his books have now been identified, however, including a heavily annotated copy of the Latin translation of Margaret Cavendish's Life of William Cavendish."
1223,"""Annesley, Arthur, Earl of Anglesea"" ."
1224,"With Learned Remarks on the Seeming Arguments, and Pretended Precedents, Offered at that Time against their Lordships., London: J. Nutt, OCLC 642442297 Carte, Thomas (1851), The life of James, Duke of Ormond: Containing an Account of the Most Remarkable Affairs of his Time, and Particularly of Ireland under his Government; with Appendix and a Collection of Letters, Serving to Verify the Most Material Facts in the said History, Oxford: Oxford University Press Cobbett's Parliamentary History of England."
1225,"He supported the parliamentarians against the republican or army party, and may have been one of the members excluded in prides purge during 1648, though some sources claim he wasn't."
1226,"He was summoned to the Irish House of Peers as Viscount Valentia, but was denied his writ to the parliament of Great Britain by a majority of one vote."
1227,"He filled the office of vice-treasurer from 1660 till 1667, served on the committee for carrying out the declaration for the settlement of Ireland and on the committee for Irish affairs, while later, in 1671 and 1672, he was a leading member of various commissions appointed to investigate the working of the Acts of Settlement."
1228,"In consequence he was dismissed on 9 August 1682, from the office of Lord Privy Seal."
1229,"In February 1661 he had obtained a captaincy of horse, and in 1667 he exchanged his post of Vice-Treasurer of Ireland with Sir George Carteret for that of Treasurer of the Navy."
1230,Dublin: M. H. Gill & son.
1231,"James' sons succeeded as the 3rd, 4th and 5th earls."
1232,In March 1679 he protested against the second reading of the bill for disabling the Earl of Danby.
1233,In 1674 he is mentioned as endeavouring to prevent the justices from putting into force the laws against the Roman Catholics and Nonconformists.
1234,"From which Last-Mentioned Epoch it is Continued Downwards in the Work Entitled, ""Cobbett's Parliamentary Debates."""
1235,"He was elected as a Bailiff to the board of the Bedford Level Corporation in 1664 and again in 1679, a position he then held until his death."
1236,"He took a prominent part in the dispute in 1671 between the two Houses concerning the right of the Lords to amend money bills, and wrote a learned pamphlet on the question entitled The Privileges of the House of Lords and Commons (1702), in which the right of the Lords was asserted."
1237,"That being so, his appearance was also said to be strange, even alarming: ""his face long and emaciated, his complexion between purple and green."
1238,"He especially disapproved of another clause in the same bill forbidding the importation of Irish cattle into England, a mischievous measure promoted by the Duke of Buckingham, and he opposed again the bill brought in with that object in January 1667, though without success."
1239,"On 6 December he protested with three other peers against the measure sent up from the Commons enforcing the disarming of all convicted recusants and taking bail from them to keep the peace; he was the only peer to dissent from the motion declaring the existence of an Irish plot; and though believing in the guilt and voting for the death of Lord Stafford, he interceded, according to his own account, with the king for him as well as for the barrister Richard Langhorne and Oliver Plunkett, Roman Catholic Archbishop of Armagh and Primate of All Ireland."
1240,The 1st viscount was also the ancestor of the Earls Annesley in the Irish peerage.
1241,"The sale was interrupted by the overseer of the press, Sir Roger L’Estrange, to withdraw controversial materials which included the removal of works by John Milton."
1242,His books were sold at auction in London beginning on 26 October 1686.
1243,"He used his influence in moderating measures of revenge and violence, and while sitting in judgement on the regicides was on the side of leniency."
1244,His services in the administration of Ireland were especially valuable.
1245,"He amassed a large fortune in Ireland, in which country he had been allotted lands by Cromwell."
1246,"The anarchy of the last months of The Protectorate converted him to royalism, and he showed great activity in bringing about the English Restoration."
1247,"Anglesey supported the king's administration in parliament, but opposed strongly the unjust measure which, on the abolition of the court of wards, placed the extra burden of taxation thus rendered necessary on the excise."
1248,"In the panic of the ""Popish Plot"" in 1678 he exhibited a saner judgment than most of his contemporaries and conspicuous courage."
1249,"He was buried at Farnborough, Hampshire."
1250,A Compendium of Irish Biography.
1251,"In so doing Anglesey was held by Ormonde to have censured his conduct and that of Charles I in concluding the ""Cessation"", and the duke brought the matter before the council."
1252,The latter arrested John Bunyan and committed him to prison.
1253,"After short periods as President of the Council of State and Treasurer of the Navy, he served as Lord Privy Seal between 1673 and 1682 for Charles II."
1254,"Having made the grand tour he returned to Ireland; and being employed by Parliament on a mission to the Duke of Ormonde, now reduced to the last extremities, he succeeded in concluding a treaty with him on 19 June 1647, thus securing the country from complete subjection to the rebels."
1255,"From the Norman Conquest, in 1066, to the Year 1803."
1256,"To which is Added a Discourse, wherein the Rights of the House of Lords are Truly Asserted."
1257,"Anglesey was by now disillusioned about the efficacy of the Council, complaining bitterly that Councillors were kept in ignorance of what passed between the King and the Secretaries of State."
1258,"Arthur Annesley, 1st Earl of Anglesey PC (10 July 1614 – 6 April 1686) was an Anglo-Irish royalist statesman."
1259,"At his death, his library of books was believed to be the largest English library not in ecclesiastical hands."
1260,"He was the chief editor of Život (1980–84), editor of the publishing house Svjetlost (1984–94), and in the period 1996-2006 editor of the quarterly Hrvatska misao."
1261,"He was born in Gornja Tramošnica near Gradačac, Bosnia and Herzegovina."
1262,Mirko Marjanović (Croatian pronunciation: [mǐːrko marjǎːnoʋit͡ɕ]; 13 July 1940) is a Croatian writer.
1263,He graduated at the Higher Pedagogical School in Sarajevo.
1264,"His novels and short stories cover topics from the Bosnian history, with mythical overtones and a penchant for fiction."
1265,"After the end of the war, he continued was given several other functions within the new Communist regime, all of them without any real power."
1266,"At the Door at Evening (poetry) (Dorion, Quebec & Ljubljana: The Muses' Co., Aleph, 1990)."
1267,"The Communist regime used the book as an excuse to launch a massive propaganda attack on his person, forcing him to completely withdraw to private life in 1952, placing him under surveillance until the end of his life."
1268,"He also visited Paris, where he met with the French thinker Emmanuel Mounier who introduced him to the personalist philosophy."
1269,"Among others, he translated works by Balzac, Guy de Maupassant, Antoine de Saint-Exupéry, and Max Frisch."
1270,His political role during and after World War II made him one of the most controversial figures in Slovenia in the 20th century.
1271,This young Catholic movement was inspired by the German Catholic theologian and philosopher Romano Guardini.
1272,"Eros in seksus (""Eros and Sexuality""."
